voltage_v,dll_nx_prime,dll_nz_prime,dll_retardance_rad,fallback_stable_power_uw,fallback_measured_power_uw,fallback_recorded_power_mw,fallback_recorded_power_uw,sim_raw_stable_power_uw,sim_raw_measured_power_uw,sim_raw_recorded_power_mw,sim_raw_recorded_power_uw,sim_comp_stable_power_uw,sim_comp_measured_power_uw,sim_comp_recorded_power_mw,sim_comp_recorded_power_uw
0.0,2.286,2.2,-17072.79419960327,1127.2,1126.3856105096065,1.13,1130.0,1602.3144147087332,1602.3734778697458,1.6,1600.0,1127.2,1125.7402382209752,1.13,1130.0
20.0,2.285998853168576,2.199996709775381,-17073.21970786962,1179.4993533706327,1178.6870174591609,1.18,1180.0,1849.938376770399,1850.9944689425326,1.85,1850.0,1179.4987642225708,1179.9042290435295,1.18,1180.0
40.0,2.285997706338878,2.1999934195655246,-17073.645213548003,1327.0701419974964,1328.439090759562,1.33,1330.0,2073.264127775509,2073.115817013353,2.07,2070.0,1327.066854205672,1325.8084331479185,1.33,1330.0
60.0,2.285996559510906,2.1999901293704296,-17074.070716638504,1543.59401354784,1543.0751272980526,1.54,1540.0,2232.464586687358,2233.650219975399,2.23,2230.0,1543.5855581115136,1544.2071948461735,1.54,1540.0
80.0,2.28599541268466,2.199986839190097,-17074.496217141044,1790.4552528592117,1788.9754801390059,1.79,1790.0,2299.149705814606,2298.265516402305,2.3,2300.0,1790.4405643030577,1789.1704346928561,1.79,1790.0
100.0,2.28599426586014,2.1999835490245254,-17074.921715055883,2023.6276598011511,2022.7204350859654,2.02,2020.0,2261.4289030502837,2260.907484873558,2.26,2260.0,2023.6087152768916,2022.1277742651632,2.02,2020.0
120.0,2.285993119037346,2.199980258873716,-17075.347210382755,2201.5263542135976,2201.255624405636,2.2,2200.0,2126.0308433940954,2127.144737880943,2.13,2130.0,2201.5089607095574,2202.7276101886473,2.2,2200.0
140.0,2.2859919722162783,2.1999769687376682,-17075.772703121755,2292.424186281545,2291.8964051732787,2.29,2290.0,1917.1027430325382,1916.5031780942638,1.92,1920.0,2292.4173903109895,2293.4445246274136,2.29,2290.0
160.0,2.2859908253969365,2.1999736786163817,-17076.19819327305,2280.11008067696,2280.8862498838575,2.28,2280.0,1671.9035307730082,1670.9013635486735,1.67,1670.0,2280.12406898997,2278.759836257398,2.28,2280.0
180.0,2.28598967857932,2.1999703885098567,-17076.62368083638,2166.780183215553,2167.5297101245196,2.17,2170.0,1434.1590898209097,1434.9593320587244,1.43,1430.0,2166.8230335504677,2166.233964314833,2.17,2170.0
200.0,2.2859885317634303,2.199967098418093,-17077.0491658121,1972.646191611874,1971.3254621017365,1.97,1970.0,1246.2646467738405,1245.7585682727624,1.25,1250.0,1972.7202783059663,1972.2501675122442,1.97,1970.0
220.0,2.2859873849492662,2.19996380834109,-17077.474648200023,1732.3307221596397,1732.764221155242,1.73,1730.0,1141.724864083487,1141.7892248418832,1.14,1140.0,1732.4298499601584,1733.4269041560988,1.73,1730.0
240.0,2.2859862381368283,2.199960518278848,-17077.900128000252,1488.6925767593166,1488.7369468164652,1.49,1490.0,1139.1796931478889,1138.5130878492532,1.14,1140.0,1488.8009062620017,1488.2351531364147,1.49,1490.0
260.0,2.285985091326116,2.199957228231367,-17078.32560521278,1285.1831363515935,1286.072913724842,1.29,1290.0,1239.0811765177546,1239.7876272371916,1.24,1240.0,1285.2766471862158,1285.9346522484575,1.29,1290.0
280.0,2.2859839445171297,2.199953938198647,-17078.751079837515,1158.0970714842733,1157.3262482642879,1.16,1160.0,1423.6135994634305,1422.139394810178,1.42,1420.0,1158.1477292252137,1159.3620436411177,1.16,1160.0
300.0,2.2859827977098695,2.1999506481806876,-17079.17655187464,1130.0994086363987,1130.6566891879222,1.13,1130.0,1659.87101664858,1659.816219760713,1.66,1660.0,1130.0814833920715,1131.5379809079573,1.13,1130.0
